new_name,new_name_clean,new_position,new_school,best_match_name,best_match_key,fuzzy_score,action,source
A.J. Haulcy,aj haulcy,S,LSU,adari haulcy,7923aaaa6184,76,match,WalterFootball_S
Byron Eason,byron eason,DT,Tennessee,bryson eason,e0199fb01ed6,87,match,WalterFootball_DT
Cian Slone,cian slone,DE,N.C. State,ian strong,7944eff29715,70,new,WalterFootball_DE
Darius Taylor,darius taylor,RB,Minnesota,j'mari taylor,113c261aebc0,77,new,WalterFootball_RB
Eli Raridon,eli raridon,TE,Notre Dame,elijah raridon,e57405a7ab7e,88,match,WalterFootball_TE
Ethan Burke,ethan burke,DE,Texas,travis burke,7bda56f3a9ed,70,new,WalterFootball_DE
Ethan Burke,ethan burke,OLB,Texas,travis burke,7bda56f3a9ed,70,new,WalterFootball_OLB34
Ethan Burke,ethan burke,DE,Texas,travis burke,7bda56f3a9ed,70,new,WalterFootball_DE34
Harrison Wallace III,harrison wallace iii,WR,Ole Miss,harrison wallace,ab2c442e6e1d,89,match,WalterFootball_WR
JaCorey Thomas,jacorey thomas,S,Georgia,jakobe thomas,c7d86e256e43,81,new,WalterFootball_S
Jalen McMurray,jalen mcmurray,CB,Tennessee,caden curry,b8b09893173f,72,new,WalterFootball_CB
Jalen Stroman,jalen stroman,S,Notre Dame,ian strong,7944eff29715,70,new,WalterFootball_S
Jayce Brown,jayce brown,WR,Kansas State,mel brown,a111e2e633cf,70,new,WalterFootball_WR
Jimmy Rolder,jimmy rolder,ILB,Michigan,james rolder,69d5f1992540,75,match,WalterFootball_ILB
L.T. Overton,lt overton,DT,Alabama,labbeus overton,190456f5a438,72,match,WalterFootball_DT
L.T. Overton,lt overton,DE,Alabama,labbeus overton,190456f5a438,72,match,WalterFootball_DE34
Matt Hibner,matt hibner,TE,SMU,matthew hibner,631a87c3aebd,88,match,WalterFootball_TE
Rara Thomas,rara thomas,WR,Troy,noah thomas,f601a674ac25,73,new,WalterFootball_WR
Rueben Bain Jr.,rueben bain jr,DE,Miami,rueben bain,f35fadfc88cc,88,match,WalterFootball_DE
Rueben Bain Jr.,rueben bain jr,OLB,Miami,rueben bain,f35fadfc88cc,88,match,WalterFootball_OLB34
