new_name,new_name_clean,new_position,new_school,best_match_name,best_match_key,fuzzy_score,action,source
Omar Cooper Jr.,omar cooper jr,WR,,omar cooper,54920d47d8b8,88,match,FantasyPros_PPR
Nick Singleton,nick singleton,RB,,nicholas singleton,4c14f220ce82,81,match,FantasyPros_PPR
De'Zhaun Stribling,de'zhaun stribling,WR,,de'zhaun-ryan stribling,72fa19289f86,88,match,FantasyPros_PPR
Eli Raridon,eli raridon,TE,,elijah raridon,e57405a7ab7e,88,match,FantasyPros_PPR
Cyrus Allen,cyrus allen,WR,,marcus allen,3df670e6c8ad,78,new,FantasyPros_PPR
Matt Hibner,matt hibner,TE,,matthew hibner,631a87c3aebd,88,match,FantasyPros_PPR
Dean Connors,dean connors,RB,,connor lew,84178b752594,73,new,FantasyPros_PPR
Harrison Wallace III,harrison wallace iii,WR,,harrison wallace,ab2c442e6e1d,89,match,FantasyPros_PPR
Anthony Smith,anthony smith,WR,,anthony hill,58ec19dd1365,72,new,FantasyPros_PPR
Rueben Owens,rueben owens,RB,,rueben bain,f35fadfc88cc,70,new,FantasyPros_PPR
Jack Velling,jack velling,TE,,jack kelly,8e62273f2db7,73,new,FantasyPros_PPR
Chris Hilton Jr.,chris hilton jr,WR,,chris hilton,404620d15833,89,match,FantasyPros_PPR
Al-Jay Henderson,al-jay henderson,RB,,emmanuel henderson,bca5a7e0672a,71,new,FantasyPros_PPR
Malachi Coleman,malachi coleman,WR,,jonah coleman,a0974fcaf7a5,71,new,FantasyPros_PPR
Lance Mason,lance mason,TE,,mansoor delane,2ac376fea062,72,new,FantasyPros_PPR
